{x: 0, D0y: 0.0, lstY[0]: 150.0, t: 0.0}
{x: 107, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 108, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 109, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 110, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 111, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 112, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 113, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 114, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 115, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 116, Vy: 0.0, Dy: 0.0, t: 0.0, lstV[x]: 0, lstY[x + 1]: 150, lstY[x - 1]: 150.0, lstY[x]: 150}
{x: 0, D0y: -22.237673310794396, lstY[0]: 127.76232668920561, t: 0.06696105003356934}
{x: 1, Vy: -0.025943952195926788, Dy: -0.00021619960163272322, t: 0.06696105003356934, lstV[x]: 0.0, lstY[x + 1]: 150.0, lstY[x - 1]: 127.76232668920561, lstY[x]: 150.0}
{x: 2, Vy: -2.5223286856146384e-07, Dy: -2.101940571345532e-09, t: 0.06696105003356934, lstV[x]: 0.0, lstY[x + 1]: 150.0, lstY[x - 1]: 149.99978380039838, lstY[x]: 150.0}
{x: 3, Vy: -2.4522487744131164e-12, Dy: -2.0435406453442637e-14, t: 0.06696105003356934, lstV[x]: 0.0, lstY[x + 1]: 150.0, lstY[x - 1]: 149.99999999789807, lstY[x]: 150.0}
{x: 4, Vy: -3.3158661002138005e-17, Dy: -2.763221750178167e-19, t: 0.06696105003356934, lstV[x]: 0.0, lstY[x + 1]: 150.0, lstY[x - 1]: 149.99999999999997, lstY[x]: 150.0}
{x: 5, Vy: 0.0, Dy: 0.0, t: 0.06696105003356934, lstV[x]: 0.0, lstY[x + 1]: 150.0, lstY[x - 1]: 150.0, lstY[x]: 150.0}
{x: 6, Vy: 0.0, Dy: 0.0, t: 0.06696105003356934, lstV[x]: 0.0, lstY[x + 1]: 150.0, lstY[x - 1]: 150.0, lstY[x]: 150.0}
{x: 7, Vy: 0.0, Dy: 0.0, t: 0.06696105003356934, lstV[x]: 0.0, lstY[x + 1]: 150.0, lstY[x - 1]: 150.0, lstY[x]: 150.0}
{x: 8, Vy: 0.0, Dy: 0.0, t: 0.06696105003356934, lstV[x]: 0.0, lstY[x + 1]: 150.0, lstY[x - 1]: 150.0, lstY[x]: 150.0}
{x: 9, Vy: 0.0, Dy: 0.0, t: 0.06696105003356934, lstV[x]: 0.0, lstY[x + 1]: 150.0, lstY[x - 1]: 150.0, lstY[x]: 150.0}
{x: 10, Vy: 0.0, Dy: 0.0, t: 0.06696105003356934, lstV[x]: 0.0, lstY[x + 1]: 150.0, lstY[x - 1]: 150.0, lstY[x]: 150.0}
{x: 11, Vy: 0.0, Dy: 0.0, t: 0.06696105003356934, lstV[x]: 0.0, lstY[x + 1]: 150.0, lstY[x - 1]: 150.0, lstY[x]: 150.0}
{x: 12, Vy: 0.0, Dy: 0.0, t: 0.06696105003356934, lstV[x]: 0.0, lstY[x + 1]: 150.0, lstY[x - 1]: 150.0, lstY[x]: 150.0}
{x: 13, Vy: 0.0, Dy: 0.0, t: 0.06696105003356934, lstV[x]: 0.0, lstY[x + 1]: 150.0, lstY[x - 1]: 150.0, lstY[x]: 150.0}
{x: 14, Vy: 0.0, Dy: 0.0, t: 0.06696105003356934, lstV[x]: 0.0, lstY[x + 1]: 150.0, lstY[x - 1]: 150.0, lstY[x]: 150.0}
{x: 15, Vy: 0.0, Dy: 0.0, t: 0.06696105003356934, lstV[x]: 0.0, lstY[x + 1]: 150.0, lstY[x - 1]: 150.0, lstY[x]: 150.0}
{x: 16, Vy: 0.0, Dy: 0.0, t: 0.06696105003356934, lstV[x]: 0.0, lstY[x + 1]: 150.0, lstY[x - 1]: 150.0, lstY[x]: 150.0}
{x: 17, Vy: 0.0, Dy: 0.0, t: 0.06696105003356934, lstV[x]: 0.0, lstY[x + 1]: 150.0, lstY[x - 1]: 150.0, lstY[x]: 150.0}
{x: 18, Vy: 0.0, Dy: 0.0, t: 0.06696105003356934, lstV[x]: 0.0, lstY[x + 1]: 150.0, lstY[x - 1]: 150.0, lstY[x]: 150.0}
{x: 19, Vy: 0.0, Dy: 0.0, t: 0.06696105003356934, lstV[x]: 0.0, lstY[x + 1]: 150.0, lstY[x - 1]: 150.0, lstY[x]: 150.0}
